,Tokens,Occurences
2553,142,"[('T1.txt', 2)]"
2554,beauti,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T6.txt', 4), ('T7.txt', 1), ('T9.txt', 3)]"
2555,anatomis,"[('T1.txt', 1)]"
2556,american_,"[('T1.txt', 1)]"
2557,pigeon,"[('T1.txt', 2), ('T6.txt', 4), ('T8.txt', 1)]"
2558,130,"[('T1.txt', 1)]"
2559,tendenc,"[('T1.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T7.txt', 5), ('T10.txt', 3)]"
2560,wors,"[('T7.txt', 1)]"
2561,christen,"[('T2.txt', 1)]"
2562,nearer,"[('T3.txt', 2), ('T6.txt', 2), ('T7.txt', 2), ('T10.txt', 4)]"
2563,ordinari,"[('T2.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 8), ('T7.txt', 1), ('T8.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
2564,sideway,"[('T1.txt', 1)]"
2565,flatten,"[('T5.txt', 1)]"
2566,_proterozo,"[('T7.txt', 1)]"
2567,swoop,"[('T1.txt', 1), ('T7.txt', 2)]"
2568,outlin,"[('T1.txt', 14), ('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 7)]"
2569,genealog,"[('T1.txt', 1), ('T6.txt', 3)]"
2570,1868,"[('T2.txt', 1)]"
2571,lumin,"[('T1.txt', 1), ('T2.txt', 4), ('T3.txt', 1), ('T4.txt', 3), ('T6.txt', 2), ('T9.txt', 1)]"
2572,disrupt,"[('T6.txt', 1)]"
2573,octob,"[('T1.txt', 2), ('T2.txt', 2), ('T4.txt', 1)]"
2574,electr,"[('T1.txt', 8), ('T2.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T9.txt', 74), ('T10.txt', 8)]"
2575,spoke,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
2576,volans_,"[('T7.txt', 1)]"
2577,instrument,"[('T1.txt', 9), ('T2.txt', 7), ('T3.txt', 1), ('T5.txt', 18), ('T7.txt', 2), ('T9.txt', 2), ('T10.txt', 1)]"
2578,maintain,"[('T2.txt', 1), ('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
2579,opalina,"[('T6.txt', 1)]"
2580,guis,"[('T7.txt', 2)]"
2581,emuls,"[('T9.txt', 1)]"
2582,sound,"[('T4.txt', 2), ('T7.txt', 4), ('T8.txt', 5), ('T9.txt', 6)]"
2583,foundat,"[('T1.txt', 1), ('T10.txt', 25)]"
2584,inform,"[('T1.txt', 3), ('T10.txt', 8)]"
2585,swept,"[('T7.txt', 1)]"
2586,whenev,"[('T8.txt', 1), ('T10.txt', 1)]"
2587,inherit,"[('T6.txt', 3), ('T7.txt', 1), ('T8.txt', 1)]"
2588,hasten,"[('T4.txt', 1)]"
2589,mighti,"[('T1.txt', 3), ('T2.txt', 1), ('T3.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
2590,187,"[('T1.txt', 1)]"
2591,toe,"[('T7.txt', 3), ('T8.txt', 1)]"
2592,moot,"[('T4.txt', 1)]"
2593,starl,"[('T1.txt', 1)]"
2594,taught,"[('T10.txt', 1)]"
2595,tyranni,"[('T8.txt', 3)]"
2596,danger,"[('T6.txt', 1), ('T7.txt', 2), ('T8.txt', 2)]"
2597,washington,"[('T2.txt', 2)]"
2598,superfici,"[('T6.txt', 2), ('T7.txt', 1)]"
2599,often,"[('T1.txt', 1), ('T3.txt', 1), ('T4.txt', 2), ('T6.txt', 12), ('T7.txt', 15), ('T8.txt', 4), ('T9.txt', 3), ('T10.txt', 1)]"
2600,conjectur,"[('T6.txt', 1)]"
2601,hanger,"[('T7.txt', 1)]"
2602,feather,"[('T1.txt', 1), ('T7.txt', 6), ('T9.txt', 1)]"
2603,presenc,"[('T2.txt', 1), ('T7.txt', 1)]"
2604,induc,"[('T6.txt', 1)]"
2605,fourteen,"[('T4.txt', 2)]"
2606,lamp,"[('T7.txt', 2)]"
2607,stump,"[('T7.txt', 1)]"
2608,regular,"[('T2.txt', 1), ('T9.txt', 2), ('T10.txt', 2)]"
2609,ernest,"[('T1.txt', 3)]"
2610,thyroid,"[('T1.txt', 1), ('T6.txt', 1)]"
2611,injuri,"[('T6.txt', 1)]"
2612,morn,"[('T3.txt', 1), ('T9.txt', 1)]"
2613,to,"[('T7.txt', 5)]"
2614,sake,"[('T1.txt', 1)]"
2615,grand,"[('T7.txt', 2)]"
2616,compon,"[('T6.txt', 1)]"
2617,dug,"[('T8.txt', 1)]"
2618,provid,"[('T1.txt', 1), ('T2.txt', 2), ('T4.txt', 1), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 15)]"
2619,splendour,"[('T7.txt', 1)]"
2620,unbroken,"[('T7.txt', 1), ('T8.txt', 1)]"
2621,think,"[('T1.txt', 4), ('T2.txt', 1), ('T3.txt', 5), ('T4.txt', 3), ('T5.txt', 2), ('T6.txt', 5), ('T7.txt', 2), ('T10.txt', 3)]"
2622,competit,"[('T7.txt', 3), ('T8.txt', 1)]"
2623,1922,"[('T1.txt', 12)]"
2624,facilit,"[('T9.txt', 1)]"
2625,sphere,"[('T6.txt', 1)]"
2626,palat,"[('T8.txt', 1)]"
2627,concern,"[('T1.txt', 2), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 3)]"
2628,saint,"[('T1.txt', 1)]"
2629,judg,"[('T1.txt', 3)]"
2630,decant,"[('T2.txt', 1)]"
2631,frog,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 6)]"
2632,psychic,"[('T1.txt', 1)]"
2633,197,"[('T1.txt', 1)]"
2634,wrought,"[('T7.txt', 1)]"
2635,onward,"[('T1.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
2636,lurch,"[('T6.txt', 1)]"
2637,busi,"[('T6.txt', 1), ('T10.txt', 2)]"
2638,tap,"[('T7.txt', 1), ('T9.txt', 1)]"
2639,former,"[('T8.txt', 1)]"
2640,magnetis,"[('T9.txt', 1)]"
2641,shown,"[('T1.txt', 2), ('T6.txt', 4), ('T7.txt', 1), ('T8.txt', 2), ('T9.txt', 10), ('T10.txt', 3)]"
2642,attack,"[('T1.txt', 2), ('T8.txt', 1)]"
2643,advantag,"[('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 4), ('T8.txt', 1)]"
2644,recognit,"[('T8.txt', 2)]"
2645,vaster,"[('T4.txt', 1)]"
2646,probe,"[('T8.txt', 1)]"
2647,dwell,"[('T7.txt', 1)]"
2648,destruct,"[('T6.txt', 1)]"
2649,candl,"[('T6.txt', 3)]"
2650,energy_,"[('T9.txt', 2), ('T10.txt', 2)]"
2651,placent,"[('T7.txt', 1)]"
2652,_total_,"[('T7.txt', 1)]"
2653,de,"[('T1.txt', 2)]"
2654,donor,"[('T10.txt', 1)]"
2655,wedg,"[('T9.txt', 1)]"
2656,exposur,"[('T6.txt', 1)]"
2657,meteor,"[('T1.txt', 4), ('T2.txt', 3), ('T4.txt', 7), ('T5.txt', 1)]"
2658,_reflectors_,"[('T5.txt', 2)]"
2659,fore,"[('T1.txt', 1), ('T7.txt', 9)]"
2660,200,"[('T1.txt', 1)]"
2661,fiftieth,"[('T8.txt', 1)]"
2662,unaccustom,"[('T6.txt', 1)]"
2663,file,"[('T9.txt', 2), ('T10.txt', 4)]"
2664,starfish,"[('T1.txt', 2), ('T7.txt', 3)]"
2665,ordovician,"[('T7.txt', 2)]"
2666,engulf,"[('T6.txt', 3)]"
2667,henri,"[('T1.txt', 1), ('T7.txt', 1)]"
2668,juvenil,"[('T7.txt', 1)]"
2669,279,"[('T1.txt', 3)]"
2670,notch,"[('T9.txt', 1)]"
2671,plainli,"[('T7.txt', 1), ('T9.txt', 1)]"
2672,caffein,"[('T6.txt', 1)]"
2673,alchemi,"[('T9.txt', 1)]"
2674,linn,"[('T7.txt', 1)]"
2675,volvox,"[('T1.txt', 1), ('T6.txt', 4)]"
2676,yard,"[('T7.txt', 1)]"
2677,repres,"[('T1.txt', 3), ('T4.txt', 1), ('T6.txt', 6), ('T7.txt', 9), ('T9.txt', 1)]"
2678,femal,"[('T1.txt', 1), ('T6.txt', 6), ('T7.txt', 2), ('T8.txt', 1)]"
2679,sweep,"[('T4.txt', 1)]"
2680,number,"[('T1.txt', 3), ('T2.txt', 4), ('T4.txt', 4), ('T5.txt', 5), ('T6.txt', 1), ('T7.txt', 5), ('T8.txt', 1), ('T9.txt', 13), ('T10.txt', 6)]"
2681,purpos,"[('T2.txt', 1), ('T6.txt', 1), ('T9.txt', 1), ('T10.txt', 3)]"
2682,otter,"[('T1.txt', 1)]"
2683,door,"[('T1.txt', 2), ('T6.txt', 1), ('T8.txt', 1), ('T9.txt', 2)]"
2684,separ,"[('T1.txt', 3), ('T2.txt', 1), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 5), ('T10.txt', 2)]"
2685,steep,"[('T4.txt', 1), ('T7.txt', 1)]"
2686,visibl,"[('T1.txt', 4), ('T2.txt', 3), ('T3.txt', 2), ('T4.txt', 4), ('T5.txt', 3), ('T9.txt', 8), ('T10.txt', 1)]"
2687,gase,"[('T1.txt', 2), ('T2.txt', 4), ('T3.txt', 1), ('T4.txt', 6)]"
2688,latest,"[('T1.txt', 1)]"
2689,qualifi,"[('T6.txt', 1)]"
2690,entomb,"[('T7.txt', 1)]"
2691,telegraphi,"[('T9.txt', 1)]"
2692,interior,"[('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T9.txt', 2)]"
2693,devis,"[('T1.txt', 1)]"
2694,obvious,"[('T2.txt', 1), ('T5.txt', 2), ('T6.txt', 1), ('T10.txt', 1)]"
2695,champion,"[('T7.txt', 1)]"
2696,convers,"[('T9.txt', 1)]"
2697,primat,"[('T7.txt', 1)]"
2698,kinet,"[('T9.txt', 2), ('T10.txt', 1)]"
2699,energi,"[('T1.txt', 5), ('T2.txt', 13), ('T6.txt', 5), ('T7.txt', 1), ('T9.txt', 93), ('T10.txt', 43)]"
2700,amaz,"[('T2.txt', 1)]"
2701,capella,"[('T5.txt', 1)]"
2702,anxiou,"[('T2.txt', 1), ('T8.txt', 1)]"
2703,indivis,"[('T1.txt', 1)]"
2704,farth,"[('T9.txt', 1)]"
2705,unten,"[('T7.txt', 1)]"
2706,lead,"[('T1.txt', 2), ('T6.txt', 2), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 4)]"
2707,continent,"[('T7.txt', 1)]"
2708,surviv,"[('T6.txt', 3), ('T7.txt', 6), ('T9.txt', 1), ('T10.txt', 1)]"
2709,outsid,"[('T1.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 2), ('T8.txt', 2), ('T9.txt', 1), ('T10.txt', 3)]"
2710,complex,"[('T1.txt', 1), ('T6.txt', 4), ('T7.txt', 5), ('T9.txt', 6)]"
2711,deepli,"[('T2.txt', 1), ('T7.txt', 2), ('T9.txt', 4)]"
2712,cheaper,"[('T5.txt', 1)]"
2713,cultiv,"[('T7.txt', 1), ('T8.txt', 1)]"
2714,stone,"[('T1.txt', 3), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 1), ('T8.txt', 3), ('T9.txt', 5)]"
2715,crab,"[('T1.txt', 3), ('T7.txt', 3)]"
2716,sprang,"[('T7.txt', 1)]"
2717,australia,"[('T1.txt', 3), ('T7.txt', 3)]"
2718,anim,"[('T1.txt', 19), ('T3.txt', 2), ('T6.txt', 84), ('T7.txt', 79), ('T8.txt', 5), ('T10.txt', 1)]"
2719,extinct,"[('T1.txt', 4), ('T4.txt', 2), ('T6.txt', 2), ('T7.txt', 9)]"
2720,catch,"[('T1.txt', 4), ('T2.txt', 1), ('T8.txt', 1), ('T9.txt', 2)]"
2721,street,"[('T1.txt', 1), ('T9.txt', 1)]"
2722,disturb,"[('T1.txt', 1), ('T2.txt', 2), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 7), ('T10.txt', 1)]"
2723,unsolv,"[('T1.txt', 1)]"
2724,reconcil,"[('T4.txt', 1)]"
2725,confirm,"[('T2.txt', 1), ('T4.txt', 1), ('T10.txt', 2)]"
2726,king,"[('T7.txt', 2)]"
2727,_invisible_,"[('T9.txt', 1)]"
2728,abbrevi,"[('T7.txt', 1)]"
2729,likelihood,"[('T7.txt', 1)]"
2730,dwindl,"[('T7.txt', 1), ('T10.txt', 1)]"
2731,resolv,"[('T1.txt', 2), ('T10.txt', 1)]"
2732,devour,"[('T6.txt', 2), ('T7.txt', 1)]"
2733,giant,"[('T1.txt', 2), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 3), ('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 5)]"
2734,logo,"[('T7.txt', 1)]"
2735,273,"[('T10.txt', 1)]"
2736,quarter,"[('T1.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
2737,overpow,"[('T1.txt', 1), ('T7.txt', 1)]"
2738,travail,"[('T6.txt', 1)]"
2739,remedi,"[('T10.txt', 1)]"
2740,amongst,"[('T1.txt', 1), ('T4.txt', 3), ('T5.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
2741,lockyer,"[('T2.txt', 1), ('T6.txt', 1), ('T10.txt', 1)]"
2742,92,"[('T1.txt', 2), ('T2.txt', 1), ('T5.txt', 1), ('T7.txt', 1)]"
2743,65,"[('T1.txt', 2)]"
2744,moth,"[('T1.txt', 1), ('T6.txt', 6), ('T7.txt', 3), ('T8.txt', 1)]"
2745,preform,"[('T8.txt', 1)]"
2746,cessat,"[('T7.txt', 1)]"
2747,horsetail,"[('T7.txt', 2)]"
2748,73000,"[('T5.txt', 1)]"
2749,migratori,"[('T7.txt', 1)]"
2750,excav,"[('T1.txt', 1)]"
2751,_conceptual_,"[('T7.txt', 2)]"
2752,relinquish,"[('T7.txt', 1)]"
2753,volplan,"[('T7.txt', 2)]"
2754,fee,"[('T10.txt', 12)]"
2755,discard,"[('T9.txt', 1)]"
2756,columbu,"[('T1.txt', 1)]"
2757,shelter,"[('T4.txt', 1), ('T8.txt', 2)]"
2758,chick,"[('T6.txt', 1), ('T8.txt', 2)]"
2759,transmiss,"[('T7.txt', 1)]"
2760,boy,"[('T7.txt', 1), ('T9.txt', 1)]"
2761,osborn,"[('T1.txt', 2), ('T7.txt', 4)]"
2762,divert,"[('T9.txt', 1)]"
2763,beginn,"[('T5.txt', 1)]"
2764,termin,"[('T9.txt', 1)]"
2765,median,"[('T1.txt', 1)]"
2766,dead,"[('T1.txt', 2), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 8), ('T9.txt', 2)]"
2767,stori,"[('T1.txt', 6), ('T2.txt', 2), ('T3.txt', 2), ('T4.txt', 1), ('T5.txt', 3), ('T6.txt', 2), ('T7.txt', 3), ('T8.txt', 1)]"
2768,cenozo,"[('T7.txt', 4)]"
2769,exhaust,"[('T9.txt', 1)]"
2770,jane,"[('T1.txt', 1), ('T10.txt', 1)]"
2771,complet,"[('T1.txt', 2), ('T2.txt', 2), ('T6.txt', 4), ('T7.txt', 1), ('T9.txt', 2), ('T10.txt', 6)]"
2772,1859,"[('T6.txt', 1), ('T7.txt', 1)]"
2773,crocodil,"[('T7.txt', 3), ('T8.txt', 1)]"
2774,linger,"[('T4.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
2775,gutenberg,"[('T1.txt', 4), ('T10.txt', 89)]"
2776,corona,"[('T1.txt', 2), ('T2.txt', 3), ('T4.txt', 1)]"
2777,sensat,"[('T2.txt', 3), ('T9.txt', 2)]"
2778,brillianc,"[('T5.txt', 1)]"
2779,preen,"[('T8.txt', 1)]"
2780,much,"[('T1.txt', 6), ('T3.txt', 4), ('T4.txt', 2), ('T5.txt', 8), ('T6.txt', 9), ('T7.txt', 17), ('T8.txt', 5), ('T9.txt', 5), ('T10.txt', 4)]"
2781,chapter,"[('T2.txt', 1), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 3), ('T9.txt', 3)]"
2782,avocet,"[('T1.txt', 1)]"
2783,fierc,"[('T4.txt', 1)]"
2784,moss,"[('T7.txt', 4)]"
2785,unlink,"[('T10.txt', 1)]"
2786,briefli,"[('T5.txt', 1), ('T9.txt', 1)]"
2787,state,"[('T1.txt', 2), ('T2.txt', 2), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 9), ('T10.txt', 21)]"
2788,116,"[('T1.txt', 2)]"
2789,reliev,"[('T2.txt', 1), ('T7.txt', 3), ('T9.txt', 1)]"
2790,sick,"[('T1.txt', 1), ('T6.txt', 3), ('T7.txt', 1)]"
2791,bunch,"[('T1.txt', 2)]"
2792,dilut,"[('T2.txt', 1)]"
2793,lifetim,"[('T4.txt', 1), ('T7.txt', 2)]"
2794,squirrel,"[('T7.txt', 2), ('T8.txt', 1)]"
2795,spot,"[('T1.txt', 1), ('T2.txt', 13), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T9.txt', 3)]"
2796,thing,"[('T1.txt', 2), ('T2.txt', 3), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 5), ('T8.txt', 3), ('T9.txt', 8), ('T10.txt', 4)]"
2797,4230,"[('T5.txt', 1)]"
2798,thought,"[('T1.txt', 1), ('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
2799,select,"[('T5.txt', 1), ('T7.txt', 1)]"
2800,canal,"[('T3.txt', 2), ('T6.txt', 4), ('T7.txt', 3)]"
2801,statu,"[('T10.txt', 4)]"
2802,failur,"[('T7.txt', 1)]"
2803,clodd,"[('T7.txt', 1)]"
2804,easi,"[('T2.txt', 2), ('T3.txt', 1), ('T7.txt', 4), ('T8.txt', 2), ('T10.txt', 1)]"
2805,flywheel,"[('T9.txt', 1), ('T10.txt', 6)]"
2806,simplic,"[('T6.txt', 1)]"
2807,brian,"[('T1.txt', 1), ('T10.txt', 1)]"
2808,labyrinthodont,"[('T7.txt', 1)]"
2809,hearti,"[('T1.txt', 1)]"
2810,141,"[('T1.txt', 1), ('T5.txt', 1)]"
2811,heat,"[('T1.txt', 6), ('T2.txt', 9), ('T3.txt', 3), ('T4.txt', 7), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 36), ('T10.txt', 17)]"
2812,suit,"[('T6.txt', 6), ('T9.txt', 2)]"
2813,equat,"[('T2.txt', 2), ('T5.txt', 1), ('T6.txt', 1), ('T9.txt', 1)]"
2814,rude,"[('T9.txt', 1)]"
2815,faster,"[('T9.txt', 2), ('T10.txt', 4)]"
2816,beneath,"[('T1.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
2817,survey,"[('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1)]"
2818,_tend,"[('T9.txt', 1)]"
2819,utter,"[('T7.txt', 1)]"
2820,dens,"[('T1.txt', 1), ('T3.txt', 1), ('T4.txt', 2), ('T6.txt', 1), ('T9.txt', 1)]"
2821,bottom,"[('T5.txt', 1), ('T9.txt', 1)]"
2822,flinti,"[('T1.txt', 1)]"
2823,set,"[('T1.txt', 2), ('T2.txt', 2), ('T4.txt', 1), ('T6.txt', 4), ('T7.txt', 8), ('T9.txt', 3), ('T10.txt', 10)]"
2824,93,"[('T1.txt', 1), ('T9.txt', 1)]"
2825,scorpion,"[('T7.txt', 4)]"
2826,mic,"[('T1.txt', 1), ('T6.txt', 1)]"
2827,latent,"[('T6.txt', 2), ('T9.txt', 1)]"
2828,glanc,"[('T1.txt', 1)]"
2829,thoroughgo,"[('T7.txt', 1)]"
2830,nois,"[('T4.txt', 1), ('T7.txt', 1)]"
2831,landlock,"[('T7.txt', 1)]"
2832,americana_,"[('T1.txt', 1)]"
2833,soap,"[('T1.txt', 1)]"
2834,cotton,"[('T1.txt', 1)]"
2835,experi,"[('T1.txt', 1), ('T2.txt', 1), ('T6.txt', 5), ('T7.txt', 6), ('T8.txt', 9), ('T9.txt', 3), ('T10.txt', 4)]"
2836,america,"[('T1.txt', 1), ('T7.txt', 8)]"
2837,manti,"[('T1.txt', 1)]"
2838,cheetah,"[('T1.txt', 1)]"
2839,elsewher,"[('T6.txt', 2), ('T7.txt', 1)]"
2840,bent,"[('T9.txt', 1)]"
2841,obscur,"[('T1.txt', 1), ('T2.txt', 2), ('T6.txt', 1)]"
2842,portion,"[('T1.txt', 2), ('T5.txt', 3), ('T6.txt', 3)]"
2843,give,"[('T1.txt', 9), ('T2.txt', 5), ('T4.txt', 3), ('T5.txt', 2), ('T6.txt', 9), ('T7.txt', 3), ('T9.txt', 17), ('T10.txt', 6)]"
2844,insid,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 2)]"
2845,gradual,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 2), ('T6.txt', 7), ('T7.txt', 4), ('T9.txt', 2), ('T10.txt', 3)]"
2846,similitud,"[('T7.txt', 1)]"
2847,snap,"[('T6.txt', 1), ('T8.txt', 2)]"
2848,milki,"[('T1.txt', 6), ('T5.txt', 9)]"
2849,birthplac,"[('T7.txt', 1)]"
2850,imag,"[('T3.txt', 1), ('T5.txt', 2), ('T6.txt', 1)]"
2851,process,"[('T1.txt', 3), ('T2.txt', 2), ('T4.txt', 5), ('T6.txt', 16), ('T7.txt', 9), ('T8.txt', 1), ('T9.txt', 5), ('T10.txt', 5)]"
2852,deplet,"[('T10.txt', 1)]"
2853,salamand,"[('T7.txt', 1)]"
2854,kernel,"[('T6.txt', 1)]"
2855,cremat,"[('T4.txt', 1)]"
2856,bavaria,"[('T7.txt', 1)]"
2857,596,"[('T10.txt', 1)]"
2858,illustr,"[('T1.txt', 16), ('T2.txt', 12), ('T3.txt', 3), ('T4.txt', 9), ('T5.txt', 7), ('T6.txt', 31), ('T7.txt', 28), ('T8.txt', 9), ('T9.txt', 33), ('T10.txt', 9)]"
2859,diamond,"[('T1.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T9.txt', 3)]"
2860,narrow,"[('T1.txt', 1), ('T3.txt', 1), ('T8.txt', 2)]"
2861,metal,"[('T2.txt', 3), ('T3.txt', 2), ('T4.txt', 1), ('T9.txt', 3)]"
2862,organis,"[('T6.txt', 1)]"
2863,masterli,"[('T8.txt', 1)]"
2864,rigid,"[('T4.txt', 1)]"
2865,291,"[('T1.txt', 1)]"
2866,hint,"[('T6.txt', 2), ('T7.txt', 1), ('T8.txt', 1)]"
2867,infantil,"[('T7.txt', 2)]"
2868,refin,"[('T1.txt', 1), ('T5.txt', 1)]"
2869,acknowledg,"[('T7.txt', 1)]"
2870,mcintosh,"[('T1.txt', 1)]"
2871,larval,"[('T7.txt', 1)]"
2872,acquiesc,"[('T1.txt', 1)]"
2873,spit,"[('T1.txt', 1)]"
2874,atom,"[('T1.txt', 12), ('T2.txt', 4), ('T6.txt', 2), ('T9.txt', 81), ('T10.txt', 5)]"
2875,boil,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T6.txt', 1), ('T9.txt', 1), ('T10.txt', 2)]"
2876,noctiluca,"[('T6.txt', 1)]"
2877,steer,"[('T7.txt', 1)]"
2878,two,"[('T1.txt', 4), ('T2.txt', 4), ('T3.txt', 2), ('T4.txt', 9), ('T5.txt', 10), ('T6.txt', 17), ('T7.txt', 14), ('T8.txt', 9), ('T9.txt', 19), ('T10.txt', 10)]"
2879,transit,"[('T5.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
2880,onlin,"[('T1.txt', 2), ('T10.txt', 4)]"
2881,growth,"[('T1.txt', 1), ('T6.txt', 4)]"
2882,faintli,"[('T1.txt', 1), ('T9.txt', 1)]"
2883,aspect,"[('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 2)]"
2884,countri,"[('T5.txt', 2), ('T10.txt', 3)]"
2885,bay,"[('T10.txt', 1)]"
2886,charl,"[('T1.txt', 1), ('T6.txt', 1), ('T10.txt', 1)]"
2887,_pliocene_,"[('T7.txt', 2)]"
2888,254,"[('T1.txt', 3)]"
2889,abl,"[('T1.txt', 1), ('T2.txt', 3), ('T6.txt', 7), ('T7.txt', 6), ('T8.txt', 2), ('T9.txt', 4)]"
2890,waggon,"[('T8.txt', 1)]"
2891,suppos,"[('T1.txt', 2), ('T3.txt', 3), ('T4.txt', 5), ('T5.txt', 6), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 6), ('T10.txt', 2)]"
2892,masculin,"[('T6.txt', 4)]"
2893,power,"[('T1.txt', 5), ('T2.txt', 2), ('T5.txt', 5), ('T6.txt', 1), ('T7.txt', 6), ('T8.txt', 3), ('T9.txt', 9), ('T10.txt', 6)]"
2894,stroke,"[('T8.txt', 2)]"
2895,slowli,"[('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
2896,radiu,"[('T7.txt', 1)]"
2897,ultra,"[('T9.txt', 3)]"
2898,mcgregor,"[('T1.txt', 7)]"
2899,smell,"[('T8.txt', 3), ('T9.txt', 1)]"
2900,letter,"[('T9.txt', 2), ('T10.txt', 1)]"
2901,durat,"[('T1.txt', 2)]"
2902,zip,"[('T10.txt', 1)]"
2903,array,"[('T10.txt', 1)]"
2904,similarli,"[('T6.txt', 1), ('T7.txt', 2)]"
2905,partnership,"[('T6.txt', 1), ('T7.txt', 2)]"
2906,agent,"[('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
2907,_origin,"[('T6.txt', 1), ('T7.txt', 1)]"
2908,zone,"[('T7.txt', 2)]"
2909,truth,"[('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 2)]"
2910,terrestri,"[('T1.txt', 1), ('T4.txt', 1), ('T7.txt', 9)]"
2911,scent,"[('T4.txt', 1), ('T7.txt', 1), ('T8.txt', 1)]"
2912,monarch,"[('T4.txt', 1)]"
2913,booti,"[('T8.txt', 1)]"
2914,pure,"[('T7.txt', 1), ('T8.txt', 1)]"
2915,readabl,"[('T10.txt', 2)]"
2916,dimens,"[('T1.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T7.txt', 2)]"
2917,royal,"[('T1.txt', 5), ('T2.txt', 1), ('T4.txt', 2)]"
2918,charg,"[('T6.txt', 1), ('T9.txt', 11), ('T10.txt', 7)]"
2919,rook,"[('T8.txt', 1)]"
2920,incarn,"[('T7.txt', 1)]"
2921,declar,"[('T1.txt', 1)]"
2922,spermatozoon,"[('T6.txt', 3)]"
2923,worm,"[('T6.txt', 8), ('T7.txt', 7), ('T8.txt', 3), ('T9.txt', 1)]"
2924,watch,"[('T2.txt', 1), ('T8.txt', 2)]"
2925,vogu,"[('T9.txt', 1)]"
2926,subsequ,"[('T6.txt', 2), ('T7.txt', 1)]"
2927,_________,"[('T5.txt', 2)]"
2928,alreadi,"[('T1.txt', 1), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 4), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 2), ('T10.txt', 5)]"
2929,puzzl,"[('T8.txt', 1)]"
2930,_everi,"[('T6.txt', 1)]"
2931,high,"[('T1.txt', 3), ('T3.txt', 1), ('T4.txt', 2), ('T6.txt', 5), ('T7.txt', 7), ('T8.txt', 1), ('T10.txt', 7)]"
2932,expens,"[('T6.txt', 3), ('T10.txt', 3)]"
